release_date,danceability,energy,valence,tempo,loudness,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity
1955-01-01,0.593,0.44299999999999995,0.6559999999999999,0.3504814305364512,0.767139870144162,0.18181818181818182,0.517,0.0,0.12300000000000001,0.03,0.05324525542608232,0.0
1956-01-01,0.606,0.86,0.925,0.4004025899956386,0.8112413337735225,0.45454545454545453,0.429,0.00015900000000000002,0.23600000000000002,0.0543,0.04038079140305401,0.06493506493506493
1956-03-23,0.419,0.1,0.256,0.47816284765323586,0.35955210740618465,0.8181818181818182,0.9520000000000001,0.449,0.11199999999999999,0.0415,0.05749815836140234,0.6623376623376623
1956-10-19,0.491,0.624,0.789,0.3581708994531486,0.7567403983712996,0.36363636363636365,0.721,0.0,0.255,0.0327,0.047440065613623086,0.3116883116883117
1957-01-01,0.377,0.615,0.5529999999999999,0.6910591471801927,0.7556674369979091,0.0,0.812,0.000322,0.154,0.0309,0.06246638413835143,0.05194805194805195
1957-03-01,0.413,0.604,0.965,0.6956419632972122,0.8019148233740508,0.0,0.85,2.62e-06,0.261,0.0474,0.04181824536208907,0.2727272727272727
1957-05-01,0.6729999999999999,0.297,0.34,0.33518301070218404,0.7159403543523715,0.8181818181818182,0.805,0.897,0.2,0.0332,0.04682278194318176,0.24675324675324675
1957-06-20,0.6659999999999999,0.8079999999999999,0.9620000000000001,0.27753883315999595,0.7361615494662704,0.45454545454545453,0.753,0.0,0.175,0.0398,0.052638864996884076,0.38961038961038963
1957-10-15,0.305,0.0334,0.242,0.04362733586070388,0.45559590623968305,0.0,0.9490000000000001,9.85e-05,0.281,0.0316,0.07563540503113425,0.5844155844155844
1957-11-01,0.8320000000000001,0.4,0.742,0.2931459053242527,0.6381093870364256,0.9090909090909091,0.722,5.52e-06,0.332,0.0494,0.041594026146502296,0.1038961038961039
1958-01-01,0.564,0.49200000000000005,0.488,0.38117220787063444,0.7132992186640255,0.45454545454545453,0.794,0.0014199999999999998,0.192,0.0316,0.06211144602784766,0.09090909090909091
1958-03-01,0.5479999999999999,0.688,0.892,0.3115912369577616,0.6997083746010785,0.0,0.49700000000000005,0.946,0.188,0.0376,0.07583511445392409,0.19480519480519481
1958-03-18,0.5329999999999999,0.715,0.648,0.2267118462106216,0.7489270386266094,0.8181818181818182,0.265,5.73e-05,0.16899999999999998,0.0722,0.040275036185985755,0.06493506493506493
