influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start,is_in_person,not_in_person,influence_val
754032,The Beatles,Pop/Rock,1960,414745,Nils Lofgren,Pop/Rock,1960,1.0,0.7011494252873564,0.519257226864991
66915,Bob Dylan,Pop/Rock,1960,924508,The Waterboys,Pop/Rock,1980,0.5564053537284895,0.7701149425287356,0.29094568353524786
894465,The Rolling Stones,Pop/Rock,1960,35719,Steve Harley,Pop/Rock,1970,0.5219885277246654,0.1724137931034483,0.22022971878709735
531986,David Bowie,Pop/Rock,1960,793022,Cock Sparrer,Pop/Rock,1970,0.3690248565965583,0.16091954022988506,0.1384012452928089
139026,Led Zeppelin,Pop/Rock,1960,501407,Mot??rhead,Pop/Rock,1970,0.3479923518164436,0.09195402298850575,0.12122736813968661
354105,Jimi Hendrix,Pop/Rock,1960,961234,Dave Matthews Band,Pop/Rock,1990,0.2294455066921606,0.5747126436781609,0.10102280678307218
100160,The Kinks,Pop/Rock,1960,977209,Dirty Pretty Things,Pop/Rock,2000,0.3078393881453155,0.0,0.09193075417259569
41874,The Beach Boys,Pop/Rock,1960,778925,Hellogoodbye,Pop/Rock,2000,0.28489483747609945,0.06896551724137931,0.08586938576561134
549797,Hank Williams,Country,1930,185615,Gary Stewart,Country,1960,0.12619502868068833,1.0,0.08384892962994991
840402,The Velvet Underground,Pop/Rock,1960,601430,Morphine,Pop/Rock,1990,0.27533460803059273,0.06896551724137931,0.08081824542645774
771438,Black Sabbath,Pop/Rock,1960,175579,Disturbed,Pop/Rock,1990,0.2638623326959847,0.022988505747126436,0.07071596474815052
316834,Marvin Gaye,R&B;,1950,159340,Dwele,R&B;,2000,0.13001912045889102,0.8045977011494253,0.06869550861248909
180228,Elvis Presley,Pop/Rock,1950,668302,Dan Penn,Pop/Rock,1960,0.17208413001912046,0.5172413793103449,0.06566482440899692
423829,Miles Davis,Jazz,1940,503247,Miri Ben-Ari,R&B;,2000,0.0994263862332696,0.8850574712643678,0.059603456002012584
120521,Chuck Berry,Pop/Rock,1950,541125,Gerry & the Pacemakers,Pop/Rock,1950,0.2084130019120459,0.21839080459770116,0.05859322793418187
631774,The Byrds,Pop/Rock,1960,297894,Poco,Pop/Rock,1960,0.2332695984703633,0.05747126436781609,0.05758299986635114
128099,James Brown,R&B;,1950,894465,The Rolling Stones,Pop/Rock,1960,0.08986615678776291,0.8735632183908046,0.05354208759502825
418740,Sex Pistols,Pop/Rock,1970,22124,Slayer,Pop/Rock,1980,0.22562141491395793,0.04597701149425287,0.052531859527197536
577627,The Who,Pop/Rock,1960,604852,Aerosmith,Pop/Rock,1970,0.2237093690248566,0.011494252873563218,0.04849094725587465
379125,Neil Young,Pop/Rock,1960,671953,Heart,Pop/Rock,1970,0.21032504780114722,0.08045977011494253,0.04748071918804392
346336,Pink Floyd,Pop/Rock,1960,748904,Stereophonics,Pop/Rock,1990,0.18546845124282982,0.16091954022988506,0.04141935078105959
622805,Stevie Wonder,R&B;,1960,84446,India.Arie,R&B;,2000,0.0994263862332696,0.632183908045977,0.037378438509736704
75747,The Clash,Pop/Rock,1970,37931,The Alarm,Pop/Rock,1980,0.19120458891013384,0.05747126436781609,0.03535798237407526
617196,Brian Eno,Pop/Rock,1970,148004,Dirty Projectors,Pop/Rock,2000,0.11663479923518165,0.4942528735632184,0.034347754306244545
238115,Sam Cooke,R&B;,1950,26952,Smokie Norful,Religious,2000,0.09369024856596558,0.5517241379310345,0.02727615783142949
490004,Ramones,Pop/Rock,1970,298766,Plastic Bertrand,Pop/Rock,1970,0.18164435946462715,0.011494252873563218,0.026265929763598768
175553,John Coltrane,Jazz,1940,748827,Slide Hampton,Jazz,1950,0.06692160611854685,0.5977011494252874,0.017173877153122272
562304,The Stooges,Pop/Rock,1960,235169,Rob Zombie,Pop/Rock,1990,0.1586998087954111,0.022988505747126436,0.015153421017460826
270491,Joni Mitchell,Pop/Rock,1960,834108,Sarah McLachlan,Pop/Rock,1980,0.10133843212237094,0.367816091954023,0.015153421017460826
46861,Ray Charles,R&B;,1940,457807,O.V. Wright,R&B;,1960,0.0248565965583174,0.7931034482758621,0.012122736813968662
608701,Muddy Waters,Blues,1940,457807,O.V. Wright,R&B;,1960,0.0038240917782026767,0.9195402298850575,0.012122736813968662
446509,Metallica,Pop/Rock,1980,3495279,Andy Black,Pop/Rock,2010,0.1491395793499044,0.034482758620689655,0.01111250874613794
816890,Johnny Cash,Country,1950,927736,Arlo Guthrie,Folk,1960,0.040152963671128104,0.6896551724137931,0.01111250874613794
357406,Nirvana,Pop/Rock,1980,164686,Ben Folds Five,Pop/Rock,1990,0.14531548757170173,0.04597701149425287,0.010102280678307218
104714,Kraftwerk,Electronic,1970,94890,The Legendary Pink Dots,Pop/Rock,1980,0.0,0.8850574712643678,0.007071596474815053
79016,Billie Holiday,Vocal,1930,78044,Bill Withers,R&B;,1960,0.0057361376673040155,0.8275862068965517,0.005051140339153609
489303,The Yardbirds,Pop/Rock,1960,745964,The Allman Brothers Band,Pop/Rock,1960,0.13957934990439771,0.011494252873563218,0.004040912271322888
852855,Roxy Music,Pop/Rock,1970,183858,Gary Numan,Pop/Rock,1970,0.12810707456978968,0.05747126436781609,0.002020456135661444
467203,Michael Jackson,R&B;,1960,89306,The Jets,Pop/Rock,1980,0.03824091778202677,0.5747126436781609,0.0
